strength_level,sex,apply_lca,rate,overall_fnr,overall_auroc,female_fnr,female_auroc,male_fnr,male_auroc
2,M,no_lca,0.0,0.304,0.787,0.308,0.79,0.301,0.785
2,M,no_lca,0.05,0.327,0.764,0.29,0.763,0.353,0.767
2,M,no_lca,0.1,0.354,0.764,0.318,0.759,0.378,0.77
2,M,no_lca,0.25,0.502,0.746,0.364,0.751,0.596,0.761
2,M,no_lca,0.5,0.631,0.699,0.374,0.72,0.808,0.751
2,M,no_lca,0.75,0.749,0.656,0.421,0.707,0.974,0.743
2,M,no_lca,1.0,0.764,0.595,0.439,0.663,0.987,0.681
2,M,lca,0.0,0.331,0.766,0.336,0.766,0.327,0.766
2,M,lca,0.05,0.319,0.765,0.299,0.764,0.333,0.766
2,M,lca,0.1,0.331,0.765,0.308,0.763,0.346,0.768
2,M,lca,0.25,0.354,0.762,0.336,0.761,0.365,0.765
2,M,lca,0.5,0.426,0.754,0.355,0.756,0.474,0.762
2,M,lca,0.75,0.475,0.748,0.346,0.757,0.564,0.76
2,M,lca,1.0,0.548,0.734,0.355,0.756,0.679,0.751
2,F,no_lca,0.0,0.319,0.767,0.327,0.769,0.314,0.766
2,F,no_lca,0.05,0.342,0.774,0.299,0.778,0.372,0.772
2,F,no_lca,0.1,0.354,0.777,0.355,0.778,0.353,0.776
2,F,no_lca,0.25,0.403,0.77,0.458,0.782,0.365,0.764
2,F,no_lca,0.5,0.513,0.746,0.729,0.775,0.365,0.766
2,F,no_lca,0.75,0.586,0.705,0.888,0.768,0.378,0.766
2,F,no_lca,1.0,0.597,0.647,1.0,0.766,0.321,0.772
2,F,lca,0.0,0.331,0.771,0.29,0.775,0.359,0.77
2,F,lca,0.05,0.335,0.772,0.29,0.775,0.365,0.771
2,F,lca,0.1,0.338,0.773,0.308,0.775,0.359,0.772
2,F,lca,0.25,0.354,0.773,0.336,0.777,0.365,0.769
2,F,lca,0.5,0.384,0.773,0.402,0.777,0.372,0.77
2,F,lca,0.75,0.414,0.771,0.477,0.776,0.372,0.772
2,F,lca,1.0,0.456,0.767,0.598,0.775,0.359,0.774
4,M,no_lca,0.0,0.327,0.771,0.262,0.777,0.372,0.769
4,M,no_lca,0.05,0.327,0.764,0.29,0.763,0.353,0.767
4,M,no_lca,0.1,0.354,0.764,0.318,0.759,0.378,0.77
4,M,no_lca,0.25,0.502,0.746,0.364,0.751,0.596,0.761
4,M,no_lca,0.5,0.631,0.699,0.374,0.72,0.808,0.751
4,M,no_lca,0.75,0.749,0.656,0.421,0.707,0.974,0.743
4,M,no_lca,1.0,0.764,0.595,0.439,0.663,0.987,0.681
4,M,lca,0.0,0.319,0.765,0.308,0.764,0.327,0.766
4,M,lca,0.05,0.319,0.765,0.308,0.763,0.327,0.766
4,M,lca,0.1,0.319,0.765,0.308,0.763,0.327,0.767
4,M,lca,0.25,0.342,0.763,0.318,0.762,0.359,0.765
4,M,lca,0.5,0.365,0.76,0.327,0.759,0.391,0.764
4,M,lca,0.75,0.407,0.758,0.336,0.761,0.455,0.763
4,M,lca,1.0,0.433,0.752,0.346,0.761,0.494,0.758
4,F,no_lca,0.0,0.319,0.767,0.327,0.769,0.314,0.766
4,F,no_lca,0.05,0.342,0.774,0.299,0.778,0.372,0.772
4,F,no_lca,0.1,0.354,0.777,0.355,0.778,0.353,0.776
4,F,no_lca,0.25,0.403,0.77,0.458,0.782,0.365,0.764
4,F,no_lca,0.5,0.513,0.746,0.729,0.775,0.365,0.766
4,F,no_lca,0.75,0.586,0.705,0.888,0.768,0.378,0.766
4,F,no_lca,1.0,0.597,0.647,1.0,0.766,0.321,0.772
4,F,lca,0.0,0.323,0.771,0.28,0.773,0.353,0.771
4,F,lca,0.05,0.327,0.772,0.29,0.774,0.353,0.771
4,F,lca,0.1,0.338,0.772,0.308,0.774,0.359,0.772
4,F,lca,0.25,0.35,0.772,0.336,0.775,0.359,0.77
4,F,lca,0.5,0.365,0.773,0.355,0.774,0.372,0.771
4,F,lca,0.75,0.384,0.773,0.402,0.774,0.372,0.772
4,F,lca,1.0,0.395,0.773,0.439,0.774,0.365,0.773
6,M,no_lca,0.0,0.327,0.771,0.262,0.777,0.372,0.769
6,M,no_lca,0.05,0.327,0.764,0.29,0.763,0.353,0.767
6,M,no_lca,0.1,0.354,0.764,0.318,0.759,0.378,0.77
6,M,no_lca,0.25,0.502,0.746,0.364,0.751,0.596,0.761
6,M,no_lca,0.5,0.631,0.699,0.374,0.72,0.808,0.751
6,M,no_lca,0.75,0.749,0.656,0.421,0.707,0.974,0.743
